Id,Price,Age_08_22,KM,Fuel_Type,HP,Color,Automatic,CC,Doors,Cylinders,Gears,Mfr_Guarantee,ABS,Airbag_1,Airbag_2,Airco,CD_Player,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Metallic_Rim
28,15750,29,41415,Petrol,110,Black,0,1600,3,4,5,1,1,1,1,1,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
29,16950,28,44142,Petrol,110,Grey,0,1600,3,4,5,1,1,1,1,1,0,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
30,17950,30,11090,Petrol,110,Blue,0,1600,3,4,5,1,1,1,1,1,1,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
31,12950,29,9750,Petrol,97,Silver,0,1400,3,4,5,1,1,1,0,0,0,0,1,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
32,15750,22,35199,Petrol,97,Blue,0,1400,3,4,5,1,1,1,1,1,1,1,1,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,
33,15950,27,29510,Petrol,97,Black,0,1400,3,4,5,1,1,1,1,1,0,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
34,14950,26,32692,Petrol,97,Grey,0,1400,3,4,5,0,1,1,1,1,0,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
35,15500,22,41000,Petrol,97,Grey,0,1400,3,4,5,0,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
36,15750,26,43000,Petrol,97,Grey,0,1400,3,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
37,15950,25,25000,Petrol,97,Grey,0,1400,3,4,5,0,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
38,14950,23,10000,Petrol,97,Blue,0,1400,3,4,5,1,1,1,1,0,0,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
39,15750,32,25329,Petrol,97,Green,0,1400,3,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
40,14750,27,27500,Petrol,97,Blue,0,1400,3,4,5,1,1,1,1,0,0,0,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
41,13950,22,49059,Petrol,97,Blue,0,1400,3,4,5,0,1,1,1,0,0,0,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
42,16750,27,44068,Petrol,97,Red,0,1400,3,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
43,13950,22,46961,Petrol,97,Blue,0,1400,3,4,5,1,1,1,1,0,0,0,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
44,16950,27,110404,Diesel,90,Red,0,2000,5,4,5,1,1,1,1,1,0,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
45,16950,22,100250,Diesel,90,Red,0,2000,5,4,5,1,1,1,1,1,0,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
46,19000,23,84000,Diesel,90,Red,0,,5,4,5,0,1,1,1,1,0,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
47,17950,27,79375,Diesel,90,Grey,0,2000,5,4,5,0,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
48,15800,22,75048,Petrol,97,Blue,0,1400,5,4,5,0,1,1,1,,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
49,17950,22,72215,Diesel,90,Grey,0,2000,5,4,5,1,1,1,1,1,0,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
50,21950,31,64982,Petrol,192,Grey,0,1800,5,4,6,1,1,1,1,1,0,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
51,17950,22,62636,Diesel,90,Grey,0,2000,5,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
52,15750,30,57086,Petrol,97,,0,1400,5,4,5,0,1,1,1,1,1,1,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,
53,20500,26,56000,Petrol,110,,1,1600,5,4,5,1,1,1,1,1,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
54,21950,27,49866,Petrol,192,,0,1800,5,4,5,0,1,1,0,1,0,1,1,1,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,
55,15500,25,49163,Petrol,110,,1,1600,5,4,5,0,1,1,1,0,1,0,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
56,13250,32,45725,Petrol,110,,0,1600,5,4,5,1,1,1,1,1,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
57,15250,28,43210,Petrol,97,,0,1400,5,4,5,0,1,1,1,1,0,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
58,15250,26,43000,Petrol,97,,0,1400,5,4,5,1,1,1,1,1,0,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
59,18950,23,39704,Petrol,110,,1,1600,5,4,5,1,1,1,1,1,1,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
60,15999,30,38950,Petrol,110,Red,0,1600,5,4,5,0,1,1,1,1,0,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
61,14950,22,37400,Petrol,97,Black,0,1400,5,4,5,0,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
62,16500,27,37177,Petrol,110,Red,0,,5,4,5,0,1,1,1,1,1,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
63,18750,31,36544,Petrol,110,Blue,0,1600,5,4,5,1,1,1,1,1,0,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
64,17950,30,33511,Petrol,110,Blue,0,1600,5,4,5,1,1,1,1,1,0,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
65,17950,27,32809,Petrol,97,Black,0,1400,5,4,5,0,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
66,16950,26,32181,Petrol,110,Blue,0,1600,5,4,5,0,1,1,0,1,1,1,1,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,
67,18950,28,30993,Petrol,110,Black,0,1600,5,4,5,1,1,1,1,1,1,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
68,14950,22,30400,Petrol,97,Grey,0,1400,5,4,5,0,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
69,22250,22,30000,Diesel,110,Grey,0,2000,5,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
70,15950,25,29719,Petrol,97,Black,0,1400,5,4,5,1,1,1,1,0,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
71,15950,28,29206,Petrol,97,Grey,0,1400,5,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
72,12995,32,29198,Petrol,97,Grey,0,1400,5,4,5,1,1,1,1,1,1,1,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,
73,18950,28,28817,Petrol,110,Grey,0,1598,5,4,5,1,1,1,1,1,1,1,1,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,
74,15750,23,28227,Petrol,97,Grey,0,1400,5,4,5,0,1,1,1,0,1,0,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
75,19950,28,28000,Petrol,110,Black,0,1600,5,4,5,1,1,1,1,1,1,1,1,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,
76,16950,23,28000,Petrol,110,Grey,0,1600,5,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
77,18750,31,25266,Petrol,110,Grey,0,1600,5,4,5,1,1,1,1,1,1,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
78,18450,27,23489,Petrol,110,Silver,0,1600,5,4,5,0,1,1,1,0,0,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
79,16895,29,22575,Petrol,110,Grey,0,1600,5,4,5,1,1,1,1,1,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
80,14900,30,22000,Petrol,97,Grey,0,1400,5,4,5,1,1,1,1,0,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
81,18950,25,20019,Petrol,110,Blue,1,16000,5,4,5,0,1,1,1,1,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
82,17250,29,20000,Petrol,110,Grey,0,1600,5,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
83,15450,25,17003,Petrol,97,Grey,0,1400,5,4,5,0,1,1,1,0,1,0,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
84,17950,31,16238,Petrol,110,Blue,1,1600,5,4,5,1,1,1,1,1,1,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
85,16650,25,15414,Petrol,97,Grey,0,1400,5,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
86,17450,28,8537,Petrol,110,Grey,0,1600,5,4,5,0,1,1,1,1,0,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
87,14900,30,7000,Petrol,97,Silver,0,1400,5,4,5,0,1,1,0,1,0,0,1,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
88,17950,20,66966,Diesel,90,Blue,0,2000,3,4,5,0,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
89,15950,19,51884,Petrol,97,Grey,0,1400,3,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
90,21950,19,50005,Diesel,110,Grey,0,2000,3,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
91,16450,20,48110,Petrol,97,Black,0,1400,3,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
92,22250,20,37500,Diesel,90,Black,0,2000,3,4,5,0,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
93,19950,16,34472,Diesel,90,Grey,0,1995,3,4,5,0,1,1,1,1,1,1,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,
94,15950,20,33329,Petrol,97,Grey,0,1400,3,4,5,0,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
95,18900,20,31850,Petrol,110,Black,0,1600,3,4,5,0,1,1,0,1,0,1,1,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
96,19950,17,30351,Diesel,90,Blue,0,1995,3,4,5,0,1,1,1,1,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
97,15950,19,29435,Petrol,97,Black,0,1400,3,4,5,0,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
98,15950,19,25948,Petrol,97,Blue,0,1400,3,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
99,18750,11,24500,Petrol,110,Blue,0,1600,3,4,5,0,1,1,1,1,0,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
100,17450,18,23902,Petrol,97,Grey,0,1400,3,4,5,1,1,1,1,1,1,1,1,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,
101,18990,20,23175,Petrol,110,Grey,0,1600,3,4,5,1,1,1,1,1,0,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
102,16250,19,19200,Petrol,97,Blue,0,1400,3,4,5,0,1,1,1,1,0,1,1,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,
103,18500,13,18000,Petrol,71,Grey,0,1400,3,4,5,0,1,1,0,1,0,1,1,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
104,18500,11,16123,Petrol,110,Grey,0,1600,3,4,5,1,1,1,1,1,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
105,19450,11,14635,Petrol,110,Blue,1,1600,3,4,5,1,1,1,1,1,0,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
106,16950,19,13748,Petrol,97,Green,0,1400,3,4,5,1,1,1,1,1,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
107,18800,14,11500,Petrol,110,Blue,0,1600,3,4,5,0,1,1,0,1,0,1,1,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
108,17450,17,10000,Petrol,97,Grey,0,,3,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
109,17950,20,7187,Petrol,110,Blue,0,1600,3,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
111,32500,4,1,Diesel,116,Grey,0,2000,5,4,5,1,1,1,1,1,0,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
112,31000,4,4000,Diesel,116,Grey,0,2000,5,4,5,0,1,1,1,1,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
113,31275,4,1500,Diesel,116,Grey,0,2000,5,4,5,1,1,1,1,1,1,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
114,24950,8,13253,Diesel,116,Grey,0,2000,5,4,5,0,1,1,1,1,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
115,24950,8,13253,Diesel,116,Grey,0,2000,5,4,5,0,1,1,1,1,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
116,22950,7,10000,Diesel,116,Silver,0,2000,5,4,5,0,1,1,1,1,1,1,1,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,
117,24990,8,6000,Diesel,90,Grey,0,,5,4,5,1,1,1,1,1,0,1,1,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,
118,21950,8,10841,Diesel,90,Grey,0,2000,5,4,5,0,1,1,1,1,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
119,17900,7,1,Petrol,110,Grey,0,1600,3,4,5,0,1,1,1,1,0,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
120,19250,20,63000,Diesel,90,Blue,0,2000,5,4,5,0,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
121,22250,17,57313,Diesel,110,Blue,0,2000,5,4,5,1,1,1,0,1,1,1,1,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,
122,18950,13,57037,Petrol,110,Silver,0,,5,4,5,0,1,1,1,1,0,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
123,19950,19,51099,Diesel,90,Silver,0,2000,5,4,5,,1,1,0,1,0,1,1,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
124,16350,14,40010,Petrol,110,Black,0,1600,5,4,5,1,1,1,1,0,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
125,18950,20,39115,Petrol,110,Blue,0,1600,5,4,5,1,1,1,1,1,1,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
126,16950,17,36012,Petrol,110,Red,0,1600,5,4,5,1,1,1,1,1,0,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
127,21750,16,36000,Petrol,110,Black,0,1600,5,4,5,1,1,1,1,1,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
128,15950,20,36000,Petrol,110,Blue,0,1600,5,4,5,0,1,1,0,1,0,1,1,1,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,
129,16500,20,35000,Petrol,97,Blue,0,1400,5,4,5,0,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
130,17950,17,33740,Petrol,97,Blue,0,1400,5,4,5,0,1,1,1,1,0,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
131,15850,13,33477,Petrol,110,Black,0,1600,5,4,5,0,1,1,1,1,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
132,,20,32627,Petrol,97,Grey,0,1400,5,4,5,0,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
133,15950,20,29797,Petrol,97,Blue,0,1400,5,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
134,16250,19,29441,Petrol,97,Blue,0,1400,5,4,5,0,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
135,15950,13,29371,Petrol,110,Black,0,1600,4,4,5,0,1,1,1,1,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
136,16500,20,29000,Petrol,97,Blue,0,1400,5,4,5,0,1,1,1,1,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
137,16500,19,27821,Petrol,97,Grey,0,1400,5,4,5,1,1,1,1,1,0,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
138,18450,19,27371,Petrol,97,Black,0,1400,5,4,5,0,1,1,1,1,1,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
139,16250,13,25170,Petrol,110,Black,0,1600,5,4,5,0,1,1,1,1,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
140,23000,11,25000,Diesel,116,Grey,0,2000,5,4,5,0,1,1,1,1,1,1,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,
141,19900,20,23000,Petrol,110,Blue,0,1600,5,4,5,0,1,1,1,1,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
142,16450,20,22588,Petrol,97,Silver,0,1400,5,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
143,23950,19,21684,Petrol,192,Silver,0,1800,5,4,5,0,1,1,0,1,0,1,1,1,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,
144,19950,13,21428,Petrol,110,Black,0,1600,5,4,5,1,1,1,1,1,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
145,18500,16,20629,Petrol,110,Grey,0,1600,4,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
146,18950,15,20270,Petrol,110,Blue,0,1600,5,4,5,1,1,1,1,1,1,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
147,16450,16,20105,Petrol,97,Black,0,1400,5,4,5,1,1,1,1,0,0,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
148,20500,20,20000,Petrol,110,Blue,1,1600,5,4,5,0,1,1,1,1,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
149,24500,13,19988,Petrol,110,Grey,0,1600,5,4,5,1,1,1,1,1,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
150,19450,19,18328,Petrol,110,Grey,0,1600,5,4,5,1,1,1,1,1,0,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
151,20950,14,17896,Petrol,110,Silver,1,1600,4,4,5,0,1,1,1,1,1,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
152,17200,20,17300,Petrol,97,Grey,0,1400,5,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
153,19950,19,17038,Petrol,110,Black,0,1600,5,4,5,1,1,1,1,1,0,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
154,18450,10,13747,Petrol,97,Black,0,1400,5,4,5,1,1,1,1,1,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
155,19500,12,13634,Petrol,110,Silver,0,1600,5,4,5,1,1,1,1,1,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
156,21750,13,13178,Petrol,110,Black,0,1600,5,4,5,1,1,1,1,1,0,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
157,16868,15,13157,Petrol,97,Blue,0,1400,4,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
158,19500,16,13000,Petrol,110,Grey,0,1600,4,4,5,1,1,1,1,1,1,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
159,18900,11,12500,Petrol,110,Blue,0,1600,5,4,5,1,1,1,1,1,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
160,19750,17,11999,Petrol,110,,0,1600,5,4,5,0,1,1,1,1,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
161,19750,16,11754,Petrol,110,Grey,1,1600,5,4,5,0,1,1,1,1,1,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
162,18950,16,11000,Petrol,110,Blue,0,1600,4,4,5,1,1,1,1,1,0,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
163,20750,17,10000,Petrol,110,Silver,0,1598,5,4,5,0,1,1,1,1,0,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
164,19600,9,7650,Petrol,110,Silver,0,1600,5,4,5,0,1,1,1,1,0,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
165,19500,14,6500,Petrol,110,Silver,0,1600,4,4,5,0,1,1,0,1,0,1,1,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
166,17650,11,6155,Petrol,97,Blue,0,1400,5,4,5,1,1,1,1,1,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
167,19950,14,6000,Petrol,110,Blue,0,1600,5,4,5,0,1,1,1,1,1,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
168,19950,14,5459,Petrol,110,Grey,0,1600,5,4,5,0,1,1,1,1,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
169,20950,14,5278,Petrol,110,Silver,1,1600,4,4,5,1,1,1,1,1,1,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
170,20500,12,5000,Petrol,110,Black,0,1600,5,4,5,1,1,1,1,1,1,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
171,17795,9,1,Petrol,98,Silver,0,1400,4,4,5,0,1,1,1,1,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
172,18245,9,1,Petrol,110,Grey,0,1600,5,4,5,0,1,1,1,1,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
173,23750,8,11000,Petrol,110,Blue,0,1600,5,4,5,0,1,1,0,0,0,1,1,1,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,
